"State","MedianValue"
"Mississippi","119000"
"West Virginia","119600"
"Arkansas","127800"
"Oklahoma","136800"
"Kentucky","141000"
"Indiana","141700"
"Alabama","142700"
"Ohio","145700"
"Iowa","147800"
"Kansas","151900"
"Michigan","154900"
"Nebraska","155800"
"Missouri","157200"
"South Carolina","162300"
"Louisiana","163100"
"South Dakota","167100"
"Tennessee","167200"
"New Mexico","171400"
"North Carolina","172500"
"Texas","172500"
"Georgia","176000"
"Pennsylvania","180200"
"Wisconsin","180600"
"Maine","190400"
"North Dakota","193900"
"Illinois","194500"
"Idaho","212300"
"Florida","215300"
"Wyoming","220500"
"Minnesota","223900"
"Arizona","225500"
"Vermont","227700"
"Montana","230600"
"Delaware","251100"
"New Hampshire","261700"
"Rhode Island","261900"
"Nevada","267900"
"Alaska","270400"
"Virginia","273100"
"Connecticut","275400"
"Utah","279100"
"Oregon","312200"
"New York","313700"
"Maryland","314800"
"New Jersey","335600"
"Washington","339000"
"Colorado","343300"
"Massachusetts","381600"
"California","505000"
"Hawaii","615300"